content,like,comment,share,forward,date
"：你的耳機在聽什麼？
：柚香覺醒307，因為很「潮」
-",200,3,529,1054,2025-1-5
"滑手機滑到無聊，可以試試
Threads > IG >八曜菜單 > 循環
-",71,1,42,71,2025-1-5
"看看當下自己擁有的，
如果你還能夠喝上一杯八曜，
你已經超級幸運。",298,1,52,63,2025-1-4
"▾▾▾抽獎資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
:播放按钮:於本貼文下方留言:
-
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
:警告:（猜猜要回歸的飲品是誰?）:警告:
-
猜對飲品即可參加抽選:双感叹号:
※一帳號只可留言一次，重複留言僅以首次留言為準
▲ 活動時間：即日起~至1/7(二)12:00截止
▲ 公布中獎名單：2025/1/8(三)
▲ 中選者需於 2025/1/12(日)23:59 前
私訊小編核對身份，逾期者將取消資格
-
:礼物:獎品內容：
8曜發蛇金‧祈福紅包一組(2入)(FB、IG、Threads各抽5組)
(八曜和茶有限公司保留調整活動內容之權利。)",21,1,10,15,2025-1-3
大家久等了:红心:,103,1,54,1744,2025-1-3
"親愛的顧客，您好：
為了嚴格把關我們
提供優質品質及服務的核心精神，
我們將針對關於食品衛生安全
之整體內部作業流程
全面進行檢查與消毒清潔等控管，
-
＃高雄文橫門市於
＃01月03日清潔消毒停止營運1天，
期間內文橫門市之所有商品暫停在實體
及第三方外送平台等一切通路之販售。
-
對於門市之臨時政策造成之不便，
我們誠摯且由衷向大家致上最深的歉意，
若有任何問題煩
請不吝詢問與告知我們，謝謝。
八曜和茶 敬啟
-
（公告張貼期間：2025年01月03日）",132,1,5,0,2025-1-2
重磅預告，2025春節經典飲品再現！,66,4,14,1,2025-1-1
"▾▾▾活動資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
:播放按钮:於本貼文下方留言:
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
-
:警告:（猜猜要回歸的飲品是誰?）:警告:
猜對飲品即可參加抽選:双感叹号:
-
※一帳號只可留言一次，重複留言僅以首次留言為準
▲ 活動時間：即日起~至1/6(一)12:00截止
▲ 公布中獎名單：2025/1/7(二)
▲中選者需於 2025/1/12(日)23:59 前
私訊小編核對身份，逾期者將取消資格",17,3,57,25,2024-12-31
"如果你今天買八曜去跨年，
你會是2025年第一批喝八曜的人。
-
用舒服的方式幫2025開場:红心:",625,10,2,0,2024-12-31
"無論你是孤獨跨年還是親朋好友一起
手上有一杯「柚香覺醒307」今年一定超順！
把好運的秘訣分享給更多人",532,5,8,0,2024-12-30
"「台南永華」以及「台中水湳」門市
營業時間延長，陪大家歡慶跨年:拉炮彩带:",36,3,38,25,2024-12-30
"新竹的朋友久等了:双感叹号::双感叹号::双感叹号:
-
今天竹北開幕活動最後一天
:反手食指向右指:柚香覺醒買一送一:反手食指向左指:",147,2,2,0,2024-12-29
"考驗曜粉的團結度
一人一句把這首歌唱完
提示「主角帶著一隻龍跟蟋蟀」
-
我先：大家同心作戰",370,37,1,0,2024-12-28
"如果有人遞給你選擇
「一張刮刮卡」跟「一杯八曜」
你會選哪一個？",2767,151,11,0,2024-12-27
"快！！趕緊帶一杯「柚香覺醒307」
-
回家看:乌贼:魷魚遊戲第二季！！",378,5,1,0,2024-12-26
"01:40簽到囉
-
今天聖誕節，喝爆的舉手:举手:
是Merry christmas 還是lonely christmas?",309,4,0,0,2024-12-26
"也希望收到「YO307清爽柚·香氛片」
-
掛在聖誕樹上還有「柚香覺醒307」的香氣
門市限量販售中:红心:",25,2,13,8,2024-12-25
"聖誕節就是要來一杯:反手食指向下指:
暖暖的「炙燒濃乳308」陪你:圣诞树:",39,3,82,3,2024-12-25
"人生圖的就是尋找刺激（不要輕易嘗試
扛..不住了..
必須要趕快來一杯「炙燒濃乳308」暖暖身子",42,1,19,7,2024-12-23
"2024 台灣設計BEST100
八曜和茶｜風格獨具的新生代強勢手搖
創意力、設計力、整合力、行銷力、銷售力的策略性集結",12,0,2,0,2024-12-23
"那如果八曜出超可愛的香氛片，
你會分享給朋友嗎？",39,2,3,0,2024-12-22
冬至很適合晚上喝杯八曜，看個拳擊賽。,316,5,3,0,2024-12-22
"冬至，湯圓吃膩了？
-
試試八曜溫「炙燒濃乳308」+白玉珍珠
讓自己當個冬至Chill Guy",341,2,2,0,2024-12-21
"黃綠杯杯 & 時尚袋袋
-
聖誕限定:圣诞树:「YO307清爽柚•香氛片」
交換禮物首選:红心:12/21登場",40,8,3,17,2024-12-19
既然你還醒著，那就看一下明天要喝什麼吧,26,3,26,8,2024-12-19
"聖誕節交換最雷禮物是什麼？
-
曜頭收過PS5的盒子打開是五顆水蜜桃:桃:",964,79,2,0,2024-12-18
"有將近7成台灣人
-
會吧冷「ㄌㄥˇ」說成「ㄋㄣˇ」
不信問看看身旁的人說這句話:反手食指向下指:
-
「今天很冷，要不要訂八曜熱奶茶？」",1381,32,28,0,2024-12-18
"新竹的朋友們:喇叭:!!
八曜在新竹的第二家門市來囉:拉炮彩带:
跨年前別忘記帶一杯八曜一起嗨:闪亮:
-
新竹中正門市:红心:
地址：新竹縣竹北市中正東路238號",222,6,156,1931,2024-12-17
"沒關係，上班桌上放一杯八曜
什麼都能迎刃而解:肌肉:",20,0,7,21,2024-12-16
"八曜8年間陪伴了許多人成長，
看見有人從高中生變大學生，
也陪伴大家讀書考試直至出社會。
-
無論每個人結果如何，
曜頭都陪伴在你們身旁，
與你們一起默默成長。",143,1,47,37,2024-12-14
"椅子陪你看電視、陪你和家人吃晚餐團圓，
它承載的是家的回憶。
-
帶杯八曜回老家，
跟坐椅子上的阿公阿嬤好好聊個天吧！",640,2,1094,3334,2024-12-13
"但我知道，通常手上拿著八曜
都會被叫哥哥或是姊姊。",38,3,13,13,2024-12-13
"既然你都滑到了
那就把八曜前Top5熱門介紹看完吧:红心:",57,2,54,39,2024-12-13
"原本曜頭只是看到超認真少年舉辦的
「空氣清淨機封面大賽」
路過上傳個菜單XD
-
沒想到他真的超認真的做出來了:笑得满地打滚:
剛剛曜頭打開試聞，空氣真的..
「和風一樣暢快」
-
完整版影片:反手食指向下指:",127,3,14,87,2024-12-12
不變的是，八曜一直都能給你溫暖的手心,20,2,7,15,2024-12-12
"人生也就這麼短，
品嚐極品有這麼難嗎？",41,1,11,9,2024-12-11
"其實我平常聽的是八曜和茶的專輯
Spotify跟apple music都找得到喔！",151,1,14,67,2024-12-11
"（續集）
:男孩_较浅肤色:：開玩笑的，我圖的是妳的笑容
:金发女_较浅肤色:：（打開塑膠袋，哇！是八曜！",72,1,7,5,2024-12-11
"那你有辦法盯著這張20秒嗎？
-
可以，代表你真的很愛八曜",120,1,20,11,2024-12-10
"好冷喔，是為了讓大家想喝熱奶茶嗎？
真的很扯！
-
冬天八曜極韻白奶茶，熱熱的喝更好喝:红心:",89,25,29,0,2024-12-8
"當然是為了找你參加！！
新北永和盛大開幕，時尚限量一杯袋
只送不賣，開幕限定:红心:",20,2,2,6,2024-12-7
"永和今天正式開幕囉:红心:
感謝前來支持的粉絲～
-
今天排隊的朋友辛苦了
我們會努力出杯的！
感謝大家來共襄盛舉八曜日
-
隊伍會不定時發放試喝
給辛苦等待的曜粉們:羞涩微笑:
大家記得帶外套以免著涼
-
看到我們八曜的夥伴
有任何菜單以及活動的問題
都會為您服務講解呦:OK:",215,89,0,0,2024-12-6
永和開幕資訊這裡看:反手食指向下指:,30,8,11,86,2024-12-6
"接下來就是屬於永和人的同樂會了
12/6 永和「樂華門市」正式開幕:红心:",174,17,12,28,2024-12-5
永和開幕活動這裡看:反手食指向下指:,25,1,21,231,2024-12-5
spotify也聽得到八曜的音樂喔:红心:,17,1,16,1,2024-12-5
幫推，用心做問卷的研究生,64,3,7,0,2024-12-5
Chill Guy 手上通常都有一杯極韻白,5,0,18,0,2024-12-4
"手上拿著「極韻白奶茶」
到哪裡都是Chill Guy",39,0,19,10,2024-12-4
那你知道嗎？這是八曜的12345,63,14,31,12,2024-12-3
"冬季生存好夥伴，來杯溫溫的「極韻白奶茶」
下班下課後溫暖手心，明天繼續加油:红心:",33,3,43,0,2024-12-2
"聖誕老公公，我的要求不多..
讓我起床就有一杯暖呼呼的「極韻白奶茶」就好
-
標記你的好友過來，讓他當你的聖誕老公公",16,2,4,10,2024-12-2
"12/6永和開幕倒數5天 - 「上班族篇」
-
「加了多少的班，熬了多少的夜，
拼的不只是生活，也是心裡深處的那份骨氣」",140,2,1,0,2024-12-1
"【新北永和】樂華門市 12月6日正式開幕拉!!
-
:十点:開幕期間營業時間：10:00-22:00
:神社:地址：新北市永和區永和路一段212號
-
:焰火:「全門市活動」
12/6（五）全台門市購買任一飲品+149元
即可購買「YO307清爽柚·香氛片」1個
（數量有限，售完為止）（一人限購2片）
-
:烟花:「永和開幕活動」
12/06（五）-12/8（日）加入會員+消費滿100元
送「HCY時尚環保一杯袋」
（滿200元即贈兩個，以此類推）
-
:左斜的放大镜:備注
1.門市開幕期間無提供以下服務：電子支付、外送平台、門市外送與門市預定自取服務。（開放另行公告時間）",15,4,14,393,2024-11-30
"【新北永和】樂華門市 12月6日正式開幕拉!!
-
:十点:開幕期間營業時間：10:00-22:00
:神社:地址：新北市永和區永和路一段212號
-
:焰火:「全門市活動」
12/6（五）全台門市購買任一飲品+149元
即可購買「YO307清爽柚·香氛片」1個
（數量有限，售完為止）（一人限購2片）
-
:烟花:「永和開幕活動」
12/06（五）-12/8（日）加入會員+消費滿100元
送「HCY時尚環保一杯袋」
（滿200元即贈兩個，以此類推）
-
:左斜的放大镜:備注
1.門市開幕期間無提供以下服務：電子支付、外送平台、門市外送與門市預定自取服務。（開放另行公告時間）",1,1,101,2464,2024-11-29
"今天是八曜日呦
每個月8、18、28
會員點數雙倍送！
-
「點數可以幹嘛」？
集滿8點可以兌換指定飲品
看過有曜粉一次換20杯的:拇指向上:",114,3,32,0,2024-11-28
"咦…怎麼空氣中有股…柚香覺醒307的味道:想一想:!?
-
原來是「YO307清爽柚．香氛片」!!!!
-
柚香覺醒307不只可以用喝的
還可以用聞的:墨镜笑脸:
濃郁卻清爽的葡萄柚果香:闪亮:
-
加上些微茶香調:热茶:
完美還原八曜招牌飲品氣味
讓清爽柚香陪伴你生活:花痴:
-
不僅氣味還原
外觀還是迷你版八曜經典袋!!
實用又超適合收藏:花痴:!!
—————————————————————
凡購買任一飲品:带吸管杯: 即可以$149加購
清爽柚．香氛片:闪亮:!!
\ 活動限定 / \ 數量有限 /
每間門市數量有限，要買要快:喇叭:
小編已經設好鬧鐘 準備好要買了:墨镜笑脸:
—————————————————————",38,6,10,154,2024-11-27
"這次棒球的團結是屬於台灣人的的團結！
-
如果是屬於曜粉的團結，
就是對「柚香覺醒307」的熱愛！
-
於是我們做出了同款香氣的香氛片
無時無刻都可以享受柚香的清爽:红心:",22,0,6,0,2024-11-27
"白馬王子送來的溫暖 _
精品極韻白奶茶，熱熱的喝，好愛:红心:",28,2,7,45,2024-11-26
冬天，極韻白也可以熱熱的喝呦:红心:,56,5,10,62,2024-11-26
告知新北朋友的最新資訊:红心:,84,6,2,0,2024-11-25
剛剛從窗外就聽見一陣陣歡呼聲:棒球:,1674,16,0,0,2024-11-24
11月、12月結束前，幸福的方法都寫在上面,932,31,15,0,2024-11-24
"目前曜粉幫大概20萬人，
加入成為曜粉幫的一員，好康真的超讚！！
-
每個月8、18、28是八曜日
消費60元有1點～
集滿8點就可以兌換指定飲品:红心:
-",82,4,38,7,2024-11-22
"難道說，祖克柏叔叔..
喝到的是新品「極韻白奶茶」！？
精品奶茶的魅力，就是給予認證的實力:红心:",76,2,16,7,2024-11-22
這是曜頭我平常的鬧鐘,108,3,174,227,2024-11-21
"咦…怎麼空氣中有股…柚香覺醒307的味道:想一想:!?
-
原來是「YO307清爽柚．香氛片」!!!!
原來是「YO307清爽柚．香氛片」!!!!
原來是「YO307清爽柚．香氛片」!!!!
-
柚香覺醒307不只可以用喝的
還可以用聞的:墨镜笑脸:
濃郁卻清爽的葡萄柚果香:闪亮:
-
加上些微茶香調:热茶:
完美還原八曜招牌飲品氣味
讓清爽柚香陪伴你生活:花痴:
-
不僅氣味還原
外觀還是迷你版八曜經典袋!!
實用又超適合收藏:花痴:!!
—————————————————————
凡購買任一飲品:带吸管杯: 即可以$149加購
清爽柚．香氛片:闪亮:!!
\ 活動限定 / \ 數量有限 /
每間門市數量有限，要買要快:喇叭:
小編已經設好鬧鐘 準備好要買了:墨镜笑脸:
—————————————————————",287,4,50,1273,2024-11-20
"來杯極韻白，用絲滑的精品奶茶
緩和看球賽緊張的心:红心:",32,1,19,0,2024-11-19
"很好喝，喝了沒？
-
你喝過世界上最好喝的奶茶嗎？
以為我又廣告你？
-
這杯好喝到，連你自己都會廣告別人",171,9,25,0,2024-11-18
"【新品猜對送大獎!! 抽獎公布】
感謝大家的熱情參與:拉炮彩带:
恭喜幾位中獎的幸運粉絲們:鼓掌::鼓掌:
-
無法超越的巔峰品味
最好喝的奶茶!!極韻白奶茶系列上市啦:拉炮彩带:
-
沒得獎的粉絲們也別氣餒!!
來杯最好喝的極韻白奶茶 :带吸管杯:
繼續鎖定八曜粉專的更多消息呦!!
-
——————————————
:三角旗:中獎名單公佈:三角旗:中獎名單公佈
感謝各位粉絲的熱烈參與:聚会笑脸: :聚会笑脸: :聚会笑脸:
-
:拉炮彩带:恭喜幸運粉絲抽到！
【八曜xINCODER限量祈福黑珠繩袋1個
+HCY時尚環保一杯袋1入】:拉炮彩带:
(八曜和茶國際有限公司保留修改活動之權利)
-
沒抽到也不要氣餒~~
記得關注八曜的動態消息！
我們將不定期推出抽獎活動好禮送粉絲！:礼物:
-
▲請以下中獎幸運粉絲，
於 2024/11/20 (三)23:59 前，
私訊小編核對身份，逾期者將取消資格",59,5,2,0,2024-11-16
"當天請多米大大的就是新品「極韻白」
極白的燕麥奶韻，精品一定要給多米品嚐:红心:",45,2,8,15,2024-11-15
"人生不夠淬煉，想文縐縐發脆不知發什麼
代表：你還沒喝「極韻白」奶茶:带吸管杯:
-
五年的技術堆疊，極致的精品奶茶！
一口入喉，彷彿看見人生種種百態，
神級別，人間無法想像的美味。",51,1,17,3,2024-11-14
"是因為！！新品「極韻白奶茶」
-
喝一口眉毛往上兩公分的:反手食指向下指:
八曜獨家精品奶茶，全台登場:奖牌:
11/11極白渾厚的絲滑口感:红心:",54,1,9,51,2024-11-13
謝謝您今天下雨專程跑一趟:红心:,126,2,45,247,2024-11-12
"光棍節，看著窗外的情侶
-
我感慨的嘆了一口氣，
將保時捷停在角落，整理後車廂的愛馬仕，
輕輕靠在車身旁，喝一口八曜的極韻白！
-
或許沒有牽著記憶中的妳，
但奶茶的甜，讓我想起成為光棍的理由。
-
4.極白棍",224,2,17,54,2024-11-11
"11/11「極韻白奶茶」:红心:
無法超越的巔峰之作，精品奶茶重磅登場！",109,1,18,18,2024-11-10
"11/11難道只有光棍節？
-
注意！全台八曜明天即將推出..
:双感叹号:全世界最好喝的奶茶」:双感叹号:
-
五款精品:反手食指向右指:「極韻·白奶茶」:反手食指向左指:
-
喝一口，保障眉毛往上兩公分
￼這輩子都沒喝過的味道:反手食指向下指:",1166,29,31,0,2024-11-10
:扩音器:台北橋門市開幕活動最新公告,40,1,12,41,2024-11-10
"很多粉絲私訊詢問曜頭
曜頭統一在這邊回答～
-
Q1:手提袋目前還有嗎？
:红色感叹号:手提袋我們現場目前都還有喔
-
Q2:加購的香氛片還有嗎？
:红色感叹号:目前還有將近一百多片
持續先減少中要加購的要快喲！
:反手食指向下指:
為了減少大家的等待時間
我們昨天晚上立即增加煮茶設備
將量能提高到最高
-
促進人潮消化的速度～
感謝大家的支持",64,1,8,124,2024-11-9
"11/08 三重開幕活動
重要即時公告
-
感謝大家對台北的喜愛
三重台北橋門市今天營業到10:30
目前排隊的隊伍較長
最後一位顧客，會等到10點左右
所以已經截止排隊囉！
-
晚上大家不要白跑一趟喔
:双手合十::双手合十::双手合十:",1394,31,11,0,2024-11-8
"曜頭來三重，現場Real無剪輯採訪
隊伍裡大家都是八曜真鐵粉
還有排隊變成朋朋的曜粉:红心:",745,17,1,0,2024-11-8
"新北三重的朋友！
一般門市通常只有一台自動智能飲料機
三重有「兩台喔」:拇指向上:
設備等量擴充
-
加上現場人力，產量已經是平常的三倍，
請大家耐心等候，因杯數較多，
謝謝您們的支持:红心:",809,3,1501,40000,2024-11-8
"02:20點名囉
現在已經到新北三重排隊等開幕的簽到",571,27,2,0,2024-11-8
開幕活動這邊看:左斜的放大镜:,40,3,84,436,2024-11-7
11/11正式發售 「極韻白奶茶」精品奶茶,194,3,22,34,2024-11-7
倒數兩天！準備好了嗎:红心:,144,3,26,41,2024-11-6
":播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友@追蹤者
:播放按钮:於本貼文下方留言:
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
:警告:（你猜的顏色）奶茶:警告:
-
猜對飲品顏色即可參加抽選:双感叹号:
※一帳號只可留言一次
重複留言僅以首次留言為準
-
▲ 活動時間：即日起~至11/10(日)12:00截止
▲ 公布中獎名單：2024/11/15 (五)
▲中選者需於 2024/11/20(三 )23:59 前
私訊小編核對身份，逾期者將取消資格
-
:礼物:獎品內容：八曜xINCODER限量祈福黑珠繩袋1個+HCY時尚環保一杯袋1入(FB、IG、Threads各抽5組)分享越多機會越大
(八曜和茶有限公司保留調整活動內容之權利。)",77,26,172,100,2024-11-4
"星期一 05:00起床的通常都是成功人士
-
成功人士這裡簽到",970,72,3,0,2024-11-4
我只能說新北三重開幕「我要shampoo！！」,2558,116,154,0,2024-11-1
"這部影片，是曜頭親自獻聲配音:红心:
帶著滿滿的感情與大家分享光點",115,1,224,3761,2024-10-31
"【 10/31 （四） #颱風 門市營業公告 】
因 #康芮颱風 來襲
『全門市』 配合政府暫停服務一天，
如有不便，敬請見諒。
-—————————————
#康芮 #颱風公告:台风: #防颱準備 #暫停服務一天",294,5,8,0,2024-10-30
哭啊，喊啊 ，叫你媽媽帶你去鳳山買八曜啊！,334,13,30,25,2024-10-30
"來蓋個萬聖節裝扮樓:南瓜灯:
曜頭走在路上以為在逛小北百貨",223,14,3,0,2024-10-28
多杯飲料放一起，避免認錯的技巧,731,20,3,0,2024-10-28
歐美萬聖節 - 扮鬼,2349,12,71,0,2024-10-27
只好幫大家換個腦袋迴音了,344,1,52,81,2024-10-26
"從「朝陽騎車到八曜」只要10分鐘？？
到塗城覓食的同學，也順路帶杯八曜清爽一下
-
塗城門市開幕囉，三天活動送好送滿:红心:",165,6,102,81,2024-10-25
"沒搶到的這裡簽到
-
改搶倫家的柚香覺醒307",269,17,31,1,2024-10-24
"感謝雲林鐵粉光顧
今天斗六門市柚香覺醒307買一送一:给我打电话:",857,1,41,677,2024-10-19
超狂開幕大放送！,40,3,8,5,2024-10-19
開幕好康快來拿！,47,5,12,38,2024-10-17
"雲林斗六 / 台中塗城
即將開幕！歡迎加爆蜜漬白玉丸:红心:",43,2,10,5,2024-10-17
攏齁哩啦:反手食指向下指:,50,1,17,89,2024-10-16
"世紀難題
吸管是一個洞還是兩個洞？",737,33,2,0,2024-10-15
"自己的未來自己決定，
飲料也是。（八曜）",66,1,25,16,2024-10-14
"沒辦法看鏡頭是因為看著手上的
限量版瓶裝「柚香覺醒307」
-
台中爵士音樂節 - 18:00-21:00
勤美門市門口販售中:红心:",94,2,3,0,2024-10-13
"來台中爵士音樂節的朋友
想要無酒精的清爽饗宴
-
勤美門市有幫大家準備瓶裝版「柚香覺醒307」
讓你更快拿到呦:红心:",309,1,53,0,2024-10-12
你是「排隊系」還是「現成系」呢？,14,1,4,77,2024-10-12
"有隱藏的新品？還有神秘獨家開幕周邊？
-
新北開幕最新活動內容在這裡喔:反手食指向下指:",3048,102,179,0,2024-10-11
"台中爵士音樂節10/11～10/20
Chill聽爵士配「柚香覺醒307」
-
市民廣場-八曜「勤美門市」等你喔:红心:",79,2,36,7,2024-10-9
斗六開幕還有超級厲害的優惠:红心:,112,2,41,285,2024-10-8
"由於我們台北市區的地點，
還正在積極的尋找，
我們目前的能力，
想方設法努力的推進至新北地區！
-
也請大家多多包含，
同時也請大家分享台北市新地點資訊，
我們會努力洽談與尋店，
謝謝各位長久的支持！
-
「光點計畫填入表單」:反手食指向下指:",271,47,649,8029,2024-10-7
"新聞連結：
統一發票7、8月開獎了，你中獎了嗎？
-",17,1,19,22,2024-10-5
"拍照要怎麼隨便拍都好看？
-
很簡單，只要手上拿著八曜
鮮明又好看的杯身，每個角度都是前衛
你的美，自然能撐起這樣的時尚
-
有人要示範嗎？",415,56,9,0,2024-10-5
"酒也是飲料的一種，有人秀一手兩手
怎麼沒有人秀自己很會喝飲料
-
舉例：
我可以Shot掉一杯全糖珍奶
我可以正常冰一口喝完",370,20,3,0,2024-10-4
12:25點名,776,14,1,0,2024-10-3
"北上驚喜包內容最新畫面釋出！
（猜得出這是什麼嗎？雙北朋友一起期待
-
10/07 八曜官網會釋出最新消息",1141,43,11,0,2024-10-2
"偷偷告訴大家
10/7官網公布第一階段消息預告",460,8,500,293,2024-10-2
"「八曜光點計畫」 感謝大家積極的參與
-
我們獲得大家提供上千筆地點資訊
成功在台北找到地點，歡迎大家繼續填單
讓我們繼續找到適合發光的地方:灯泡:
-
連結:反手食指向下指:",831,50,1613,25000,2024-10-1
"趁颱風還沒來，冰箱趕快囤幾杯八曜
風大雨大上路危險！",267,14,1,0,2024-10-1
"結束3天的F1活動
完售將近4000杯，曜頭中暑3次
不過達成幫大家解渴的任務了
-
接下來就是..",624,12,1,0,2024-9-29
"大熱天，冰涼清爽的好貨
對抗毒辣的太陽，清爽超好喝啦:红心:
來收藏限量活動罐罐～",69,1,10,1,2024-9-29
"其實是冰到發抖，冰鎮的清爽「柚香覺醒307」
炎熱太陽下的救星:红心:星期日活動最後一天",1192,10,69,179,2024-9-28
"感謝今天超熱情的大家
曜頭也陪大家一整天:红心:",30,1,43,41,2024-9-28
大家一定要注意防曬，曜頭也在現場陪大家:红心:,83,2,11,0,2024-9-28
太熱想要解渴，可以來市府前廣場5號攤位:红心:,23,1,10,10,2024-9-28
"天氣超炎熱，幫大家準備好清涼的飲料了
「柚香覺醒307」和風一樣暢快:红心:
-
台中市政府前廣場5號攤位/六日讓你暢飲:赛车:",62,2,7,56,2024-9-27
跟對面朋朋以物易物,177,1,49,672,2024-9-27
"我們就在F1賽車模擬器旁邊:红心:
-
｜2024 Showrun Taichung 封街賽車展演｜
日期 :日历: 2024/09/27(五)~09/29(日)
時間 :三点: 10:30~17:30
地點 :圆图钉: 臺中市政府 府前廣場 5號攤位!!",67,28,25,144,2024-9-26
"肯定是看到「柚香覺醒307」的繽紛色彩
飆風版主題曲，重磅推出:红心:
-
YouTube完整版：",84,5,43,0,2024-9-25
"完整版:反手食指向下指:YouTube下方介紹有歌詞
-",5,1,26,62,2024-9-25
