content,like,comment,share,date,forward
"今天滑 ig只有看到白光的
可以來測試一下視力:双眼:",747,21,4,5/20/25,0
"正常心跳：___/\_____/\___
薪水入帳的心跳：_/\__/\__/\_
今天搶到日幣的心跳：/\/\/\/\/\/\/\
搶到日幣發現沒有生活費的心跳：________",998,2,8,5/5/25,0
"你以為一天喝的是：
:汗滴::汗滴::汗滴::汗滴::汗滴:",1185,2,17,5/4/25,0
"明天要上班上課還睡不著ㄉ
可以試試蕎蕎洋甘菊 好眠到天亮:打呵欠:",14,312,5,4/27/25,0
"有人的 IG 也更新功能了嗎:双感叹号:
終於可以自訂貼文順序:放声大哭:",342,10,4,4/18/25,0
"聽說今天是 4/11 國際寵物日:闪亮:
想到門市也養了一隻可愛的樹懶
和大家分享一下( ´▽` )ﾉ",420,32,2,4/11/25,0
"明天上班的午餐也幫你想好ㄌ！
（可以順便帶一杯牛肉麵奶蓋回去請老闆喝:伪装的脸:）",69,3280,26,4/6/25,1
"闆娘好像不是開玩笑的⋯
居然找了幫手一起練習做菜
賣相看起來不錯 就是不知道味道如何:想一想:",4182,92,39,3/26/25,0
老闆說手搖飲做了5年，想來點新鮮的,1769,140,2,3/21/25,0
"暈船仔們不要再等訊息了
Emo 睡不著也等不到 只會等到黑眼圈",63,4314,45,3/14/25,4
"明天也想喝飲料ㄉ人
以下偷偷放送福利:松了口气:",70,1160,16,3/6/25,4
週末到ㄌ 小幫手幫忙送的禮物大家都收到了ㄅ(´･ω･`),33,728,14,2/20/25,0
"剛剛被追加一題：情人節會有禮物嗎？
⋯只能說還沒準備禮物的各位",54,119,5,2/12/25,1
"看完ㄌ 決定向鐘勳看齊
吃完水果 洗洗睡",40,787,19,2/11/25,0
"好消息是再睡5分鐘療癒購物派對還有兩天
品牌週邊全品項有85折優惠
提供給下班後想報復性消費舒壓ㄉ上班族們",40,241,4,2/7/25,0
"\ 再睡5分鐘 夥伴招募中！/
年後轉職:链接:",78,598,13,1/24/25,2
"才剛睡5分鐘 馬上被搖醒:忍住泪水:
大家都還好嗎:放声大哭:",464,32,2,1/21/25,0
"無法體會開心果的一天沒關係
但你一定要知道這 2 杯用 真實開心果 做成的飲料",90,290,7,1/19/25,1
"我的心意都展現在紅包袋上ㄌ！
現在到再睡5分鐘門市結帳金額滿 88 元
可以獲得蛇年限定品牌紅包:蛇:",86,11000,114,1/9/25,1
"脆很靈 別亂按
怕你開工飲料喝太飽:松了口气:",778,15,2,1/1/25,0
"千萬不要滑到最後
.
.
.
.
.
.
.
.
.
.
.
不然你明天可能會飲料喝太飽:流口水:",548,13,14,12/24/24,0
現在大家都流行在留言備註區告白ㄇ？:想一想:,4427,43,17,11/26/24,0
:奖杯: TEAM TAIWAN NO.1,234,17,9,11/25/24,0
已購買，女友喜歡。,483,3,5,11/13/24,0
你們和朋友一起工作也會這樣嗎？,1555,27,13,11/6/24,0
"雖然萬聖節倒數不到2小時
可愛的桌布還是得換起來:南瓜灯:",245,1,4,10/31/24,0
全對的人現在都幾歲了？,408,34,6,10/25/24,0
聽說,96,4,1,10/22/24,0
一天喝幾杯飲料算是合理？,137,45,1,10/16/24,0
今天上線的香草奶蓋和香草可可奶昔大家喝了嗎？完成度夠高嗎？,140,1,12,10/12/24,0
老闆娘這個台語給過嗎？,155,8,1,10/9/24,0